ketel eff.,gevel opp.,gevel isolatie,dak opp.,dak isolatie,ketel,gevel,dak,ketel + gevel,ketel + dak,gevel + dak,ketel + gevel + dak,beste maatregel
0.6551,40.29,0.6231,54.5,0.5741,1384.12,1090.99,1045.83,3304.59,3330.16,2909.88,6312.66,ketel + gevel + dak
0.8669,59.99,0.322,56.3,0.4406,-986.72,1786.71,1126.0,932.45,236.09,4486.12,3788.78,gevel + dak
0.5485,61.38,0.3957,54.5,0.5886,2480.0,1182.84,588.44,5522.63,4318.95,2757.24,8979.52,ketel + gevel + dak
0.5627,33.77,0.5478,52.0,0.4053,566.48,130.6,154.55,1342.02,1592.74,816.2,3217.61,ketel + gevel + dak
0.6489,33.77,0.3265,52.0,0.3065,-607.07,-7.0,-300.16,-250.91,-520.35,305.22,685.13,ketel + gevel + dak
0.5442,84.13,0.5502,52.0,0.4634,4131.88,608.44,2219.36,6678.54,8652.55,4107.13,13315.1,ketel + gevel + dak
0.7261,36.86,0.5067,56.3,0.3299,-389.68,303.7,644.23,233.85,745.81,1757.73,2373.03,ketel + gevel + dak
0.7735,36.86,0.4337,56.3,0.532,-386.24,1262.61,462.99,1251.65,382.66,2588.22,3024.25,ketel + gevel + dak
0.7861,61.99,0.6007,54.9,0.4604,239.89,1573.88,2945.57,2293.19,3810.97,5957.19,7510.29,ketel + gevel + dak
0.5684,87.57,0.5958,52.8,0.4588,4431.36,787.77,2886.86,7109.57,9772.99,5086.86,14687.49,ketel + gevel + dak
0.7426,37.28,0.6992,57.8,0.5356,506.85,692.22,1561.17,1567.15,2705.4,2901.67,4551.43,ketel + gevel + dak
0.8137,83.72,0.6993,52.0,0.4556,407.35,924.58,5356.23,1678.42,6469.14,7715.66,9327.16,ketel + gevel + dak
0.8006,59.99,0.6474,56.3,0.4046,-19.03,1260.07,3296.35,1605.88,3861.09,6009.6,7119.53,ketel + gevel + dak
0.8103,37.28,0.4886,52.8,0.5386,-575.96,1264.49,774.03,943.97,429.79,2895.69,2901.76,ketel + gevel + dak
0.7054,85.77,0.3888,52.8,0.6377,1735.71,3072.64,2017.72,6318.35,4674.1,6807.14,11447.07,ketel + gevel + dak
0.8554,51.41,0.5931,50.6,0.6933,-559.61,2705.84,1514.12,2362.17,1099.28,5157.09,5007.01,gevel + dak
0.5708,29.88,0.443,58.7,0.5338,634.42,599.27,-275.71,2061.82,1046.05,861.59,3321.77,ketel + gevel + dak
0.8495,29.34,0.6195,58.7,0.4958,-841.39,1127.73,967.97,402.12,271.24,2881.98,2347.73,gevel + dak
0.7324,29.88,0.6918,58.7,0.405,-93.49,269.05,920.48,428.56,1373.4,1735.54,2566.42,ketel + gevel + dak
0.8188,33.51,0.6508,62.2,0.5622,-368.24,1628.78,1429.7,1515.06,1357.38,3971.76,4244.5,ketel + gevel + dak
0.7007,36.42,0.4831,62.2,0.5853,514.63,1476.61,505.7,2701.06,1606.28,2835.4,4888.35,ketel + gevel + dak
0.5939,29.34,0.4839,58.7,0.6011,860.44,830.41,-137.56,2542.41,1408.45,1242.5,3923.4,ketel + gevel + dak
0.6772,29.88,0.3692,58.7,0.3409,-539.04,251.29,-289.1,70.25,-440.36,600.47,1017.25,ketel + gevel + dak
0.5783,29.34,0.426,58.7,0.3213,-181.1,38.21,-327.43,335.44,125.76,246.0,1475.29,ketel + gevel + dak
0.7322,29.88,0.398,58.7,0.4515,-489.63,721.34,-94.07,588.68,-269.01,1317.45,1657.63,ketel + gevel + dak
0.7736,63.1,0.3909,64.6,0.3934,-135.87,1566.47,1697.17,1975.06,2102.32,4958.34,6184.78,ketel + gevel + dak
0.8152,67.97,0.6665,85.5,0.542,1192.34,4428.71,6345.89,6279.93,8420.99,13111.05,16088.16,ketel + gevel + dak
0.8036,29.88,0.5437,58.7,0.4809,-606.11,984.74,591.58,597.1,232.45,2333.79,2283.98,gevel + dak
0.6615,29.88,0.4534,58.7,0.6028,336.15,1042.53,-54.05,2056.29,791.78,1611.97,3360.24,ketel + gevel + dak
0.5843,29.88,0.3067,58.7,0.5197,-14.11,594.46,-623.03,1353.71,-180.78,522.14,2035.36,ketel + gevel + dak
0.6341,29.88,0.6727,58.7,0.3319,198.78,42.68,542.73,610.2,1584.48,1115.34,2748.05,ketel + gevel + dak
0.7219,29.88,0.5394,58.7,0.4901,-90.86,830.87,367.65,1151.29,729.41,1879.0,2819.88,ketel + gevel + dak
0.7507,66.8,0.3258,64.6,0.4553,83.49,2092.69,1220.76,2964.15,1868.08,5054.43,6835.87,ketel + gevel + dak
0.7659,66.8,0.6525,64.6,0.6947,2323.41,4220.99,2884.49,7610.54,5995.42,8466.96,12882.32,ketel + gevel + dak
0.6945,29.56,0.6358,58.7,0.6885,897.52,1401.72,194.34,2959.08,1583.72,2118.84,4322.78,ketel + gevel + dak
0.7982,29.88,0.6197,58.7,0.5658,-358.51,1291.81,863.38,1204.9,802.31,2907.51,3214.04,ketel + gevel + dak
0.5939,29.56,0.5996,58.7,0.3013,89.4,6.64,192.57,526.15,1137.79,752.97,2413.77,ketel + gevel + dak
0.7262,66.84,0.4947,64.6,0.3511,550.76,1086.39,2553.19,2344.95,4101.36,5324.72,7983.94,ketel + gevel + dak
0.5974,56.86,0.4965,62.84,0.6968,3824.74,2404.89,609.72,8253.89,5538.88,3893.13,11291.47,ketel + gevel + dak
0.5754,25.27,0.5121,56.9,0.3827,28.84,143.21,-283.98,651.95,387.08,303.85,1705.62,ketel + gevel + dak
0.7213,53.34,0.5318,49.32,0.3595,7.64,339.51,1478.7,801.28,2158.16,2837.95,4224.18,ketel + gevel + dak
0.8353,67.21,0.5235,49.1,0.6668,-199.17,3057.35,2323.7,3240.55,2399.44,6737.77,7300.91,ketel + gevel + dak
0.6943,67.21,0.367,49.1,0.5743,721.69,1653.82,1032.17,3422.71,2423.12,3917.36,6720.22,ketel + gevel + dak
0.6542,67.21,0.4432,49.1,0.3497,488.89,146.45,1343.6,1397.44,2798.51,2650.22,5303.14,ketel + gevel + dak
0.8621,53.34,0.5204,49.32,0.4376,-895.18,1173.24,1938.34,395.22,1182.48,4330.42,3745.25,gevel + dak
0.7068,42.81,0.5543,0.0,0.5211,1879.29,2866.58,0.0,5856.98,1879.29,2866.58,5856.98,ketel + gevel
0.6071,64.47,0.3969,0.0,0.4104,3835.41,3452.91,0.0,9825.64,3835.41,3452.91,9825.64,ketel + gevel
0.6022,42.58,0.6582,0.0,0.4694,4406.16,2111.72,0.0,8151.61,4406.16,2111.72,8151.61,ketel + gevel
0.8729,66.24,0.5516,0.0,0.6635,-535.03,5913.58,0.0,5619.66,-535.03,5913.58,5619.66,gevel
0.6466,40.5,0.346,71.98,0.3912,143.53,847.42,-46.94,1767.5,783.45,1813.45,3817.38,ketel + gevel + dak
0.5291,64.16,0.4527,71.98,0.5722,4760.86,1960.65,1172.88,9355.0,8017.18,4446.73,14844.99,ketel + gevel + dak
0.5836,66.47,0.696,0.0,0.4197,8632.45,2151.02,0.0,12958.36,8632.45,2151.02,12958.36,ketel + gevel
0.5321,42.81,0.4474,0.0,0.3488,3534.35,1861.5,0.0,7512.05,3534.35,1861.5,7512.05,ketel + gevel
0.7436,66.24,0.4083,0.0,0.3366,1641.48,4762.84,0.0,7796.17,1641.48,4762.84,7796.17,ketel + gevel
0.6617,42.58,0.5134,0.0,0.486,2299.68,2593.1,0.0,6256.0,2299.68,2593.1,6256.0,ketel + gevel
0.5452,64.16,0.4489,71.98,0.4815,3558.13,1460.9,1237.66,7138.85,6772.29,4051.66,12586.67,ketel + gevel + dak
0.5587,40.5,0.3365,71.98,0.5225,1149.79,1152.93,-326.84,3699.44,1722.37,1701.44,5681.97,ketel + gevel + dak
0.6791,34.18,0.5584,0.0,0.6866,1632.2,2161.47,0.0,4808.04,1632.2,2161.47,4808.04,ketel + gevel
0.6898,9.93,0.3886,0.0,0.598,-655.21,642.23,0.0,267.44,-655.21,642.23,267.44,gevel
0.7447,9.93,0.5386,0.0,0.5523,-642.08,715.48,0.0,280.56,-642.08,715.48,280.56,gevel
0.8895,33.49,0.6429,0.0,0.3101,-1048.23,3064.51,0.0,2063.5,-1048.23,3064.51,2063.5,gevel
0.8529,32.88,0.6317,0.0,0.6565,-542.49,2846.86,0.0,2512.56,-542.49,2846.86,2512.56,gevel
0.8418,34.18,0.5233,0.0,0.5951,-500.91,2908.66,0.0,2674.92,-500.91,2908.66,2674.92,gevel
0.7448,32.05,0.3526,0.0,0.5666,-21.81,2309.72,0.0,2956.11,-21.81,2309.72,2956.11,ketel + gevel
0.5452,8.49,0.5527,0.0,0.3927,-81.6,384.15,0.0,707.24,-81.6,384.15,707.24,ketel + gevel
0.5135,8.49,0.543,0.0,0.5497,-3.16,348.04,0.0,785.69,-3.16,348.04,785.69,ketel + gevel
0.7637,32.05,0.3946,0.0,0.3372,-42.41,2391.23,0.0,2935.52,-42.41,2391.23,2935.52,ketel + gevel
0.7338,31.44,0.4318,0.0,0.3658,315.73,2219.23,0.0,3236.98,315.73,2219.23,3236.98,ketel + gevel
0.8462,32.05,0.6891,0.0,0.5279,-401.17,2034.19,0.0,1819.58,-401.17,2034.19,1819.58,gevel
0.8448,32.05,0.3192,0.0,0.4254,-820.38,2740.05,0.0,2157.55,-820.38,2740.05,2157.55,gevel
0.8901,8.49,0.4505,0.0,0.6369,-1174.64,777.59,0.0,-385.79,-1174.64,777.59,-385.79,gevel
0.6048,8.49,0.4672,0.0,0.3878,-413.58,452.17,0.0,375.27,-413.58,452.17,375.27,gevel
0.8728,32.05,0.6909,0.0,0.5544,-795.16,2092.09,0.0,1390.15,-795.16,2092.09,1390.15,gevel
0.8282,31.44,0.5079,0.0,0.6509,-429.43,2617.84,0.0,2491.82,-429.43,2617.84,2491.82,gevel
0.756,32.05,0.4795,0.0,0.682,286.27,2357.94,0.0,3264.2,286.27,2357.94,3264.2,ketel + gevel
0.6226,29.73,0.3851,55.64,0.6245,282.33,895.85,-325.26,1948.03,431.8,1124.09,2897.56,ketel + gevel + dak
0.5553,59.66,0.4196,0.0,0.6413,4596.94,2780.27,0.0,10140.25,4596.94,2780.27,10140.25,ketel + gevel
0.7785,59.66,0.6052,0.0,0.5954,1746.61,4569.52,0.0,7289.92,1746.61,4569.52,7289.92,ketel + gevel
0.7909,29.73,0.3918,55.64,0.4946,-730.26,906.14,-13.66,415.67,-553.95,1595.58,1392.03,gevel + dak
0.7839,31.44,0.3097,55.64,0.5032,-774.83,973.91,-249.9,473.65,-855.76,1460.95,1238.81,gevel + dak
0.6922,29.73,0.6649,55.64,0.6105,674.68,906.03,654.58,2102.65,1943.41,2130.14,4111.9,ketel + gevel + dak
0.8478,75.81,0.3947,61.74,0.4957,-557.97,3163.1,2664.56,2930.49,2365.61,7960.18,8117.85,ketel + gevel + dak
0.5652,29.37,0.5859,53.84,0.5262,992.65,441.26,61.13,2182.36,1887.21,982.7,3841.73,ketel + gevel + dak
0.5582,29.37,0.6188,53.84,0.6193,1583.38,646.42,121.62,3129.34,2603.83,1242.34,4914.6,ketel + gevel + dak
0.6316,29.37,0.665,53.84,0.629,1184.79,739.59,438.55,2588.04,2381.58,1674.75,4492.45,ketel + gevel + dak
0.7896,75.81,0.3459,61.74,0.3043,-469.13,898.99,1891.77,852.41,1903.02,4776.82,5488.34,ketel + gevel + dak
0.6686,29.37,0.6147,53.84,0.5779,546.12,819.4,400.45,1933.61,1550.88,1788.04,3703.17,ketel + gevel + dak
0.8602,29.37,0.5847,53.84,0.4195,-992.72,710.9,791.06,-210.92,-102.84,2232.96,1443.77,gevel + dak
0.8436,29.37,0.3961,53.84,0.5339,-946.7,1091.32,73.89,272.51,-777.92,1882.1,1206.09,gevel + dak
0.6404,29.37,0.4735,53.84,0.4934,88.58,520.23,-57.78,1153.13,553.08,1006.62,2382.44,ketel + gevel + dak
0.869,29.37,0.6915,54.04,0.6724,-892.68,1151.9,925.27,329.64,113.78,2598.76,1876.3,gevel + dak
0.6206,29.37,0.6491,54.04,0.4823,665.13,454.21,366.98,1694.02,1805.5,1350.53,3602.04,ketel + gevel + dak
0.7398,29.37,0.3282,54.04,0.4061,-744.81,459.07,-315.51,-8.33,-836.16,774.6,667.96,gevel + dak
0.8016,29.37,0.3332,54.04,0.6226,-764.57,1306.09,-212.06,802.91,-836.76,1777.72,1498.36,gevel + dak
0.848,75.8,0.3222,61.73,0.3445,-836.88,1550.27,1891.62,938.8,1265.56,5574.12,5304.34,gevel + dak
0.8823,75.81,0.6417,61.73,0.4889,-851.18,3301.7,5575.86,2559.25,4867.37,11096.49,10541.21,gevel + dak
0.8672,29.37,0.6985,54.04,0.326,-1040.78,90.71,1232.41,-915.54,289.32,1883.33,995.94,gevel + dak
0.7235,29.37,0.5614,54.04,0.3366,-488.75,216.23,381.21,-19.14,315.06,1214.53,1552.32,ketel + gevel + dak
0.581,29.37,0.6962,54.04,0.3644,525.9,-128.25,373.98,778.84,1847.19,626.72,2690.32,ketel + gevel + dak
0.7661,36.86,0.4784,56.3,0.4849,-334.16,1039.43,636.08,1067.27,659.03,2529.9,3064.17,ketel + gevel + dak
0.6911,36.86,0.3399,56.3,0.6824,150.64,1597.72,-309.61,2543.08,172.81,1934.11,3406.46,ketel + gevel + dak
0.8038,36.86,0.3735,56.3,0.4016,-797.82,768.04,266.66,185.57,-330.88,1931.16,1656.22,gevel + dak
0.5874,87.97,0.4057,57.8,0.6968,4836.71,3128.67,1049.82,10941.12,7214.16,5408.28,15202.81,ketel + gevel + dak
0.5653,37.28,0.5349,52.8,0.69,2066.57,1019.3,-40.41,4307.2,2783.65,1457.31,5785.93,ketel + gevel + dak
0.5017,61.44,0.4755,52.8,0.4393,2425.86,201.03,759.61,4151.97,4836.17,1835.35,8131.28,ketel + gevel + dak
0.6087,87.97,0.6482,57.8,0.5797,6279.54,2357.67,3945.61,10944.84,12805.52,7966.42,19930.07,ketel + gevel + dak
0.7859,40.29,0.6981,54.5,0.4874,-54.43,588.35,1874.34,783.22,2290.0,3167.06,3934.31,ketel + gevel + dak
0.556,59.99,0.5974,56.3,0.3319,1894.7,-4.91,1607.3,2925.77,5366.87,2611.63,8031.48,ketel + gevel + dak
0.6278,61.38,0.3525,54.5,0.4523,750.4,833.74,627.03,2690.61,2239.9,2589.44,5798.05,ketel + gevel + dak
0.5481,33.77,0.5107,52.0,0.5791,1255.5,552.09,20.68,2769.24,2124.2,1089.98,4487.26,ketel + gevel + dak
0.7032,33.77,0.3143,52.0,0.5464,-402.84,867.39,-257.23,971.88,-368.27,1273.79,1855.77,ketel + gevel + dak
0.544,84.13,0.5323,52.0,0.581,5270.57,1359.78,2103.83,9061.63,9601.78,4742.57,15508.74,ketel + gevel + dak
0.8242,36.86,0.5773,56.3,0.3774,-739.45,702.43,1245.77,122.52,750.37,2867.36,2616.05,gevel + dak
0.5011,61.43,0.5934,57.8,0.5018,4466.38,678.85,1392.01,7054.94,8116.88,3026.99,12422.75,ketel + gevel + dak
0.8647,37.28,0.5365,52.8,0.3621,-1018.53,612.02,1133.79,-338.86,215.5,2660.48,1847.19,gevel + dak
0.8577,36.86,0.4376,56.3,0.588,-896.62,1779.89,685.27,1021.93,-108.16,3421.69,2814.1,gevel + dak
0.5877,36.86,0.3418,56.3,0.6119,621.03,972.93,-287.59,2659.63,928.67,1340.71,3970.97,ketel + gevel + dak
0.7891,36.86,0.5213,56.3,0.5966,-238.12,1593.12,886.21,1724.03,970.52,3359.33,3936.37,ketel + gevel + dak
0.836,61.99,0.4932,54.9,0.6907,-202.73,3544.2,1631.24,3745.85,1658.57,6393.43,6918.42,ketel + gevel + dak
0.6811,87.57,0.3071,52.8,0.4794,801.48,1605.15,1278.55,3710.24,2914.98,4576.18,8060.03,ketel + gevel + dak
0.5062,37.28,0.6779,57.8,0.6218,3604.88,524.45,542.03,5349.13,5692.38,1570.92,8333.4,ketel + gevel + dak
0.6556,83.72,0.4378,52.0,0.519,2048.75,1636.0,2057.14,5168.92,5357.73,5226.82,10583.49,ketel + gevel + dak
0.7412,59.99,0.4811,56.3,0.5254,622.11,1854.39,1828.78,3233.9,3144.46,5028.39,7389.78,ketel + gevel + dak
0.7768,37.28,0.3236,52.8,0.3816,-797.68,523.9,9.72,-25.15,-577.09,1355.34,1147.47,gevel + dak
0.8123,85.77,0.5587,52.8,0.4838,242.94,2379.97,4202.08,3139.45,5041.57,8558.83,10128.41,ketel + gevel + dak
0.5089,51.41,0.5421,50.6,0.4587,2199.13,192.06,663.29,3645.2,4344.52,1566.74,7048.76,ketel + gevel + dak
0.731,66.84,0.4131,64.6,0.622,1319.09,3403.83,1888.91,5942.42,4018.0,6989.0,10729.71,ketel + gevel + dak
0.6345,29.88,0.6373,58.7,0.3617,242.1,245.03,438.48,939.66,1477.98,1281.61,3023.86,ketel + gevel + dak
0.6691,29.34,0.3495,58.7,0.4659,-330.22,621.32,-385.37,788.89,-342.26,855.27,1609.84,ketel + gevel + dak
0.5904,29.88,0.6635,58.7,0.4264,863.9,269.79,378.88,1713.75,2210.77,1167.6,3851.6,ketel + gevel + dak
0.7256,29.34,0.3081,58.7,0.6452,-397.69,1344.9,-432.9,1468.0,-581.89,1583.56,2116.78,ketel + gevel + dak
0.7006,67.97,0.3184,85.5,0.609,1819.93,4759.3,1345.78,8476.05,4157.41,8292.94,13624.3,ketel + gevel + dak
0.6827,29.88,0.4203,58.7,0.6983,302.64,1410.22,-441.75,2427.9,187.32,1456.58,2956.04,ketel + gevel + dak
0.6552,29.88,0.3634,58.7,0.351,-464.14,247.14,-345.39,187.97,-390.22,519.3,1110.21,ketel + gevel + dak
0.5874,29.88,0.4429,58.7,0.6466,909.93,953.19,-241.45,2815.85,1321.12,1265.37,4075.36,ketel + gevel + dak
0.5936,29.88,0.6486,58.7,0.3738,550.19,209.13,346.97,1299.04,1833.61,1115.64,3430.78,ketel + gevel + dak
0.6142,29.88,0.5009,58.7,0.3017,-182.21,36.77,-17.48,260.93,474.95,598.24,1766.42,ketel + gevel + dak
0.8694,66.8,0.6902,64.6,0.4252,-679.6,1555.6,5342.44,996.53,4907.6,8509.44,8251.82,gevel + dak
0.5042,66.8,0.6839,64.6,0.4747,6249.2,434.28,2383.23,8492.7,11771.13,3788.58,15747.99,ketel + gevel + dak
0.7588,29.56,0.5724,58.7,0.4656,-322.65,819.71,557.68,803.59,611.86,2084.96,2577.34,ketel + gevel + dak
0.7143,29.88,0.5937,58.7,0.4564,-14.37,699.88,531.29,1084.9,1036.47,1904.48,2984.06,ketel + gevel + dak
0.8755,29.56,0.694,58.7,0.4931,-1004.25,742.75,1365.06,-217.48,440.2,2744.75,1881.76,gevel + dak
0.7885,66.84,0.4466,64.6,0.5481,382.69,3142.6,2470.89,4234.05,3431.13,7443.23,9370.87,ketel + gevel + dak
0.7588,56.86,0.6471,62.84,0.3189,198.95,731.48,3143.18,1362.81,4219.37,5331.69,7111.38,ketel + gevel + dak
0.5326,25.87,0.4852,55.7,0.4903,492.02,286.59,-392.06,1476.1,790.2,306.94,2471.21,ketel + gevel + dak
0.5785,65.71,0.5327,59.5,0.609,4279.21,1861.08,1749.83,8197.4,7828.44,4826.33,13637.62,ketel + gevel + dak
0.7904,65.71,0.3684,59.5,0.3475,-462.79,1045.91,1571.11,983.38,1532.55,4277.68,4869.72,ketel + gevel + dak
0.7462,25.87,0.4133,55.7,0.6725,-372.1,1218.43,-332.58,1246.91,-486.14,1398.7,1751.47,ketel + gevel + dak
0.5051,25.87,0.6545,55.7,0.6694,2149.25,555.4,-236.65,3705.11,2816.18,664.02,4987.22,ketel + gevel + dak
0.7592,65.71,0.4349,59.5,0.5151,457.0,2268.65,1981.46,3487.61,3081.8,5845.26,8003.39,ketel + gevel + dak
0.7068,25.87,0.3485,55.7,0.5438,-491.22,763.77,-438.74,679.3,-669.26,872.37,1198.19,ketel + gevel + dak
0.5167,65.71,0.5852,59.5,0.5113,4824.64,935.46,1688.69,7819.23,8869.86,3709.72,13755.43,ketel + gevel + dak
0.6353,25.87,0.6602,55.7,0.3886,114.74,182.64,231.53,675.28,1022.92,880.97,2244.75,ketel + gevel + dak
0.5022,25.87,0.3904,55.7,0.478,237.1,204.97,-633.41,1178.28,205.03,-39.56,1843.15,ketel + gevel + dak
0.6015,25.87,0.6025,55.7,0.5552,733.37,568.49,10.65,1943.6,1440.51,1044.89,3347.68,ketel + gevel + dak
0.7704,25.87,0.3034,55.7,0.4268,-875.05,548.71,-487.68,-112.1,-1210.45,657.57,249.43,gevel + dak
0.8343,25.87,0.3464,55.7,0.5543,-955.76,1066.05,-273.5,251.3,-1141.13,1438.6,762.86,gevel + dak
0.6878,65.71,0.495,59.5,0.6892,2603.0,3140.02,1387.41,7279.69,4877.53,5689.1,11074.35,ketel + gevel + dak
0.8522,65.71,0.6894,59.5,0.5218,-295.79,1910.46,4684.52,1825.26,4735.29,8032.39,8374.45,ketel + gevel + dak
0.7614,25.87,0.3603,55.7,0.4789,-736.98,687.5,-330.33,207.54,-873.95,946.77,767.51,gevel + dak
0.8812,74.26,0.6962,36.0,0.3353,-1042.44,-447.12,3507.06,-1454.76,2558.58,4033.39,3140.48,gevel + dak
0.5879,25.87,0.4367,55.7,0.5123,151.88,441.8,-398.41,1212.78,281.22,498.64,2039.05,ketel + gevel + dak
0.7016,43.97,0.5057,47.44,0.5022,212.08,743.44,802.41,1514.02,1576.88,2332.28,3887.68,ketel + gevel + dak
